Metlink_Stop_ID,Route_Number,Route_Name,Direction,Tram_Stop_Name,Stop_Sequence,Tram_Tracker_ID,VicgridX,VicgridY,Boardings,Alightings,DailyUse
323,19,City(Elizabeth/Flinders st) to North Coburg,Down,39-Ida St/Sydney Rd (Coburg North),0040,,2496800.383,2419116.791,,3.5697312355,3.5697312355
378,19,City(Elizabeth/Flinders st) to North Coburg,Down,39-Mercy College/Sydney Rd (Coburg North),0039,2439,2496804.857,2418942.548,,3.5697312355,3.5697312355
398,5,Melbourne University to Malvern,Up,41-Armadale St/Wattletree Rd (Armadale),0037,2136,2501565.512,2404458.725,23.082865715,6.59510469437,29.6779704094
40228,8,Toorak to Moreland,Down,20-St Kilda Rd/Domain Rd (Melbourne City),0024,,2497626.17,2407564.557,6.69656801224,267.862709045,274.559277058
40235,112,St Kilda to Preston,Down,125-Whiteman St/Clarendon St (Southbank),0020,1392,2496223.703,2408384.687,19.2700710297,6.42335700989,25.6934280396
4039,112,St Kilda to Preston,Down,128-Dorcas St/Clarendon St (South Melbourne),0017,1395,2496526.279,2407541.864,77.0802841187,38.5401420593,115.620426178
4084,112,St Kilda to Preston,Down,129-Park St/Clarendon St (South Melbourne),0016,1396,2496619.074,2407289.182,67.4452486038,41.7518205643,109.197069168
409,5,Melbourne University to Malvern,Up,42-Kooyong Rd/Wattletree Rd (Armadale),0038,2137,2501750.995,2404414.07,6.59510469437,13.1902093887,19.7853140831
4124,112,St Kilda to Preston,Down,127-York St/Clarendon St (South Melbourne),0018,1394,2496437.182,2407783.004,54.598534584,22.4817495346,77.0802841187
4125,112,St Kilda to Preston,Down,126-City Rd/Clarendon St (South Melbourne),0019,1393,2496295.362,2408190.823,57.810213089,16.0583925247,73.8686056137
4126,112,St Kilda to Preston,Down,130a-Raglan St/Clarendon St (South Melbourne),0015,1180,2496706.577,2407047.595,32.1167850494,12.8467140198,44.9634990692
4127,112,St Kilda to Preston,Down,130-Clarendon St/Albert Rd (South Melbourne),0014,1397,2496761.84,2406856.828,6.42335700989,12.8467140198,19.2700710297
4128,112,St Kilda to Preston,Down,131-Aughtie Dr/Albert Rd (Albert Park),0013,1398,2496571.166,2406698.926,12.8467140198,3.21167850494,16.0583925247
4129,112,St Kilda to Preston,Down,132-Kerferd Rd/Canterbury Rd (Albert Park),0012,1399,2496427.52,2406493.981,25.6934280396,3.21167850494,28.9051065445
4130,112,St Kilda to Preston,Down,133-Canterbury Rd/Mills St (Middle Park),0011,1400,2496491.224,2406330.522,22.4817495346,,22.4817495346
4131,112,St Kilda to Preston,Down,134-Carter St/Mills St (Middle Park),0010,1401,2496384.624,2406159.443,41.7518205643,6.42335700989,48.1751775742
4132,112,St Kilda to Preston,Down,135-Richardson St/Mills St (Middle Park),0009,1402,2496251.111,2405959.827,64.2335700989,3.21167850494,67.4452486038
4133,112,St Kilda to Preston,Down,136-Mills St/Danks St (Middle Park),0008,1403,2496134.704,2405701.059,83.5036411285,51.3868560791,134.890497208
4134,112,St Kilda to Preston,Down,137-Harold St/Danks St (Middle Park),0007,1404,2496410.509,2405521.157,80.2919626236,3.21167850494,83.5036411285
4135,112,St Kilda to Preston,Down,143-Fitzroy St/Park St (St Kilda),0001,1410,2497740.739,2404459.121,125.255468369,75.6066906452,200.862159014
